no,username,balance
80,py-f033ab3,6977.71
81,py-43ec517,9440.40
82,py-9778d5d,8162.97
83,py-fe9fc28,2194.33
84,py-68d30a9,7489.07
85,py-3ef8154,4334.82
86,py-93db85e,8921.76
87,py-c7e1249,1806.01
88,py-2a38a4a,6321.36
89,py-7647966,1245.27
90,py-8613985,8454.83
91,py-54229ab,8596.08
92,py-92cc227,294.93
93,py-98dce83,3165.79
94,py-f4b9ec3,3786.58
95,py-812b4ba,3567.50
96,py-26657d5,4742.25
97,py-e2ef524,327.69
98,py-ed3d2c2,2568.98
99,py-ac627ab,8348.77
100,py-f899139,5560.63
101,py-38b3eff,8260.40
102,py-ec89566,3799.34
103,py-6974ce5,7968.81
104,py-c9e1074,9713.41
105,py-65b9eea,5946.22
106,py-f0935e4,5016.25
107,py-a97da62,7696.26
108,py-a3c65c2,7099.54
109,py-2723d09,1133.06
110,py-5f93f98,1505.88
111,py-698d51a,9667.18
112,py-7f6ffaa,3267.60
113,py-73278a4,425.20
114,py-5fd0b37,9617.88
115,py-2b44928,281.77
116,py-c45147d,2873.79
117,py-eb160de,8044.69
118,py-5ef0599,9450.49
119,py-07e1cd7,1990.37
120,py-da4fb5c,7925.06
121,py-4c56ff4,3455.62
122,py-a0a080f,324.27
123,py-202cb96,221.56
124,py-c8ffe9a,7785.28
125,py-3def184,6567.78
126,py-069059b,7054.36
127,py-ec5decc,1572.52
128,py-76dc611,5455.86
129,py-d1f491a,961.36
130,py-9b86192,9242.20
131,py-1afa34a,5152.85
132,py-65ded53,8002.54
133,py-9fc3d71,7615.25
134,py-02522a2,463.36
135,py-7f1de29,2622.16
136,py-42a0e18,4207.10
137,py-3988c7f,8110.82
138,py-013d407,8744.21
139,py-e00da03,3408.23
140,py-1385974,7231.70
141,py-0f28b5d,8578.70
142,py-a8baa56,8031.70
143,py-903ce92,3004.77
144,py-0a09c88,7684.88
145,py-2b24d49,6468.69
146,py-a5e0013,5392.94
147,py-8d5e957,3308.65
148,py-47d1e99,5895.71
149,py-f221706,5211.18
150,py-7ef605f,8565.66
151,py-a8f15ed,5856.07
152,py-37a749d,3393.24
153,py-b3e3e39,707.48
154,py-1d7f7ab,2473.88
155,py-2a79ea2,1050.84
156,py-1c9ac01,5465.05
157,py-6c4b761,9204.08
158,py-0640966,8552.89
159,py-140f696,2508.03
160,py-b73ce39,8203.79
161,py-bd4c9ab,9204.82
162,py-82aa4b0,5939.76
163,py-0777d5c,6894.01
164,py-fa7cdfa,6258.02
165,py-9766527,2611.83
166,py-7e7757b,639.49
167,py-5878a7a,894.14
168,py-006f52e,6403.69
169,py-3636638,1306.97
170,py-149e967,1442.81
171,py-a4a042c,3394.72
172,py-1ff8a7b,6060.49
173,py-f7e6c85,9439.48
174,py-bf82296,3577.39
175,py-8216124,5354.66
176,py-38af861,3452.95
177,py-96da2f5,6748.20
178,py-8f85517,738.40
179,py-8f53295,7468.98
180,py-045117b,106.59
181,py-fc22130,4677.11
182,py-4c5bde7,1258.58
183,py-cedebb6,2777.84
184,py-6cdd60e,5183.86
185,py-eecca5b,7648.93
186,py-9872ed9,8557.67
187,py-31fefc0,4889.95
188,py-9dcb88e,7749.18
189,py-a2557a7,9862.59
190,py-cfecdb2,7648.03
191,py-0aa1883,1143.25
192,py-58a2fc6,3960.69
193,py-bd686fd,8814.34
194,py-a597e50,3472.15
195,py-0336dcb,7796.95
196,py-084b6fb,8864.60
197,py-85d8ce5,5278.03
198,py-0e65972,7664.38
199,py-84d9ee4,7713.06
200,py-3644a68,3742.21
201,py-757b505,9863.92
202,py-854d6fa,6876.90
203,py-e2c0be2,9401.18
204,py-274ad47,444.40
205,py-eae27d7,6860.95
206,py-7eabe3a,684.00
207,py-69adc1e,8687.12
208,py-091d584,8451.23
209,py-b1d10e7,1030.57
210,py-6f3ef77,8950.56
211,py-eb16372,694.23
212,py-1534b76,8751.56
213,py-979d472,5267.72
214,py-ca46c1b,1678.29
215,py-3b8a614,1084.81
216,py-45fbc6d,9158.36
217,py-63dc7ed,4654.68
218,py-e96ed47,9144.92
219,py-c0e190d,9074.53
220,py-ec8ce6a,8305.40
221,py-060ad92,7825.70
222,py-bcbe336,1193.72
223,py-115f895,2889.82
224,py-13fe9d8,9304.99
225,py-d1c38a0,5626.18
226,py-9cfdf10,9013.81
227,py-705f217,2616.48
228,py-74db120,129.65
229,py-57aeee3,9599.43
230,py-6da9003,970.80
231,py-9b04d15,4376.93
232,py-be83ab3,5775.52
233,py-e165421,2947.61
234,py-289dff0,3638.30
235,py-577ef11,487.73
236,py-01161aa,1632.52
237,py-539fd53,8207.92
238,py-ac1dd20,9555.24
239,py-555d670,7220.24
240,py-335f535,7106.14
241,py-f340f1b,2804.60
242,py-e4a6222,9667.53
243,py-cb70ab3,9374.25
244,py-9188905,4864.49
245,py-0266e33,7300.65
246,py-38db3ae,6498.67
247,py-3cec07e,3879.11
248,py-621bf66,7142.30
249,py-077e29b,3815.08
250,py-6c9882b,7820.21
251,py-19f3cd3,7906.79
252,py-03c6b06,165.00
253,py-c24cd76,505.88
254,py-c52f1bd,3157.55
255,py-fe131d7,2285.84
256,py-f718499,6185.77
257,py-d96409b,6492.64
258,py-502e4a1,3592.59
259,py-cfa0860,3142.35
260,py-a4f2367,5390.65
261,py-b1a59b3,8312.31
262,py-36660e5,4236.89
263,py-8c19f57,6079.75
264,py-d6baf65,5975.67
265,py-e56954b,4657.66
266,py-f766406,9813.99
267,py-eda80a3,3738.00
268,py-8f121ce,8085.86
269,py-06138bc,4565.37
270,py-3905972,7039.12
271,py-7f100b7,7145.56
272,py-7a614fd,5056.11
273,py-4734ba6,2708.75
274,py-d947bf0,4183.20
275,py-63923f4,9260.31
276,py-db8e1af,4398.93
277,py-20f0759,6198.82
278,py-07cdfd2,2385.70
279,py-d395771,1555.10
280,py-92c8c96,5096.73
281,py-e3796ae,1109.20
282,py-6a9aedd,2594.73
283,py-0f49c89,8661.40
284,py-46ba9f2,1998.74
285,py-0e01938,7296.92
286,py-16a5cda,4236.23
287,py-918317b,131.86
288,py-48aedb8,5095.90
289,py-839ab46,9662.02
290,py-f90f2ac,7854.20
291,py-9c838d2,3695.24
292,py-1700002,4746.24
293,py-53c3bce,353.27
294,py-6883966,3723.17
295,py-49182f8,9806.65
296,py-d296c10,1752.11
297,py-9fd8184,3291.40
298,py-26e359e,1644.21
299,py-ef0d393,1284.90
300,py-94f6d7e,1356.20
301,py-34ed066,619.89
302,py-577bcc9,3922.94
303,py-11b9842,8900.30
304,py-37bc2f7,4923.99
305,py-496e05e,1624.51
306,py-b2eb734,4278.24
307,py-8e98d81,668.23
308,py-a8c88a0,9919.00
309,py-eddea82,3404.20
310,py-06eb61b,1004.17
311,py-9dfcd5e,4194.24
312,py-950a415,4221.58
313,py-158f306,1069.04
314,py-7588749,5306.91
315,py-ad13a2a,2797.99
316,py-3fe94a0,2179.28
317,py-5b8add2,8103.72
318,py-432aca3,5267.08
319,py-8d3bba7,9812.07
320,py-3207225,3515.49
321,py-caf1a3d,1962.10
322,py-5737c6e,2541.36
323,py-bc6dc48,4456.96
324,py-f2fc990,121.32
325,py-89f0fd5,5273.84
326,py-a666587,5953.26
327,py-b83aac2,2712.33
328,py-cd00692,789.55
329,py-6faa804,734.19
330,py-fe73f68,5949.14
331,py-6da37dd,9795.48
332,py-c042f4d,2523.08
333,py-310dcbb,496.88
334,py-2f2b265,3736.40
335,py-f9b902f,140.00
336,py-6855456,8133.48
337,py-357a6fd,6475.44
338,py-819f46e,9069.10
339,py-0402595,2663.93
340,py-40008b9,6812.43
341,py-3dd48ab,6215.92
342,py-58238e9,6182.64
343,py-3ad7c2e,3966.99
344,py-b3967a0,6063.53
345,py-d81f9c1,8132.32
346,py-13f9896,953.06
347,py-c5ff254,1312.70
348,py-01386bd,6602.49
349,py-0bb4aec,4949.23
350,py-9de6d14,3191.97
351,py-efe9377,5980.88
352,py-371bce7,166.22
353,py-138bb06,8635.74
354,py-8dd48d6,7570.47
355,py-82cec96,3289.25
356,py-6c524f9,3486.52
357,py-fb7b9ff,8051.63
358,py-aa942ab,735.24
359,py-c058f54,5762.70
360,py-e7b24b1,1425.65
361,py-52720e0,6903.91
362,py-c3e878e,6386.21
363,py-0041146,8395.21
364,py-bac9162,6308.10
365,py-9be40ce,4275.98
366,py-5ef698c,7543.37
367,py-05049e9,2328.59
368,py-cf004fd,1825.39
369,py-0c74b7f,2305.42
370,py-d709f38,6364.47
371,py-41f1f19,6416.87
372,py-24b16fe,8181.15
373,py-ffd52f3,9587.85
374,py-ad972f1,2840.47
375,py-f61d694,505.31
376,py-142949d,5524.03
377,py-d34ab16,1171.60
378,py-8bf1211,2790.81
379,py-a02ffd9,7933.92
380,py-bca82e4,6712.43
381,py-00ec53c,5533.55
382,py-4f6ffe1,5316.73
383,py-beed136,3725.25
384,py-0584ce5,4723.88
385,py-dc912a2,9197.20
386,py-39461a1,8097.44
387,py-8efb100,4510.16
388,py-d9fc5b7,9873.33
389,py-c86a7ee,1086.11
390,py-a01a038,3998.12
391,py-5a4b25a,2571.12
392,py-f73b76c,1590.31
393,py-70c639d,2685.11
394,py-28f0b86,2115.86
395,py-1543843,3375.51
396,py-f8c1f23,8168.77
397,py-e46de7e,6192.29
398,py-b7b16ec,9190.68
399,py-352fe25,2835.87
400,py-18d8042,9095.26
401,py-816b112,3149.68
402,py-69cb3ea,5824.94
403,py-bbf94b3,6450.05
404,py-4f4adcb,4459.17
405,py-bbcbff5,1202.77
406,py-8cb22bd,486.92
407,py-f4f6dce,9242.88
408,py-0d0fd7c,5908.82
409,py-a96b65a,7684.76
410,py-1068c6e,8451.62
411,py-17d63b1,3360.19
412,py-b9228e0,6468.46
413,py-0deb1c5,4567.34
414,py-66808e3,8412.17
415,py-42e7aaa,721.52
416,py-8fe0093,9420.70
417,py-41ae36e,5879.53
418,py-d1f255a,806.68
419,py-7eacb53,894.78
420,py-b6f0479,780.91
421,py-e0c6411,9884.62
422,py-f85454e,5657.40
423,py-faa9afe,6913.25
424,py-3c7781a,2413.32
425,py-25b2822,2664.04
426,py-6ecbdd6,8619.04
427,py-1899773,506.38
428,py-8d7d8ee,3549.14
429,py-75fc093,6199.79
430,py-f74909a,5017.33
431,py-6636827,2042.44
432,py-248e844,5067.47
433,py-019d385,2090.55
434,py-a49e941,5397.00
435,py-ddb3068,2206.16
436,py-2421fcb,7349.84
437,py-fccb60f,4992.34
438,py-1651cf0,9074.43
439,py-eed5af6,1914.10
440,py-a8abb4b,7882.13
441,py-15d4e89,7812.29
442,py-c203d8a,5742.39
443,py-13f3cf8,1986.87
444,py-550a141,5032.32
445,py-67f7fb8,1962.32
446,py-1a5b1e4,2768.25
447,py-9a96876,501.16
448,py-9b70e8f,2464.61
449,py-d61e4bb,2466.92
450,py-f5f8590,4456.33
451,py-941e1aa,158.13
452,py-9431c87,2534.66
453,py-49ae49a,8250.23
454,py-e44fea3,7492.27
455,py-821fa74,6887.82
456,py-250cf8b,2295.70
457,py-42998cf,2582.47
458,py-d07e70e,1413.52
459,py-7fe1f8a,3259.90
460,py-98b2979,807.27
461,py-0353ab4,1194.18
462,py-51d92be,7565.79
463,py-428fca9,8237.18
464,py-f1b6f28,9743.97
465,py-68ce199,638.69
466,py-e836d81,3968.42
467,py-ab817c9,8900.04
468,py-877a9ba,2750.02
469,py-dc6a648,1773.63
470,py-2633735,3860.89
471,py-8e6b42f,5217.96
472,py-ef575e8,762.20
473,py-2050e03,1704.97
474,py-25ddc0f,2496.17
475,py-5ef0b4e,9344.27
476,py-598b3e7,591.10
477,py-74071a6,9097.64
478,py-cfee398,6664.25
479,py-d18f655,7887.13
480,py-6ea2ef7,6701.20
481,py-9461cce,783.26
482,py-f770b62,8908.02
483,py-e1e32e2,7936.69
484,py-eba0dc3,3669.66
485,py-218a0ae,687.30
486,py-7d04bbb,9429.22
487,py-a516a87,3902.09
488,py-c3c59e5,5560.59
489,py-854d9fc,4389.26
490,py-c410003,4100.23
491,py-559cb99,906.53
492,py-55a7cf9,1441.28
493,py-2f55707,6114.97
494,py-1be3bc3,9971.83
495,py-3505107,3053.36
496,py-b534ba6,6169.13
497,py-7380ad8,7060.72
498,py-05f971b,1931.53
499,py-3cf166c,4334.55
500,py-cee6311,3014.65
501,py-5b69b9c,3667.54
502,py-b5b41fa,1817.50
503,py-285e19f,8996.65
504,py-b337e84,5254.83
505,py-e8c0653,5312.90
506,py-ff4d5fb,2163.13
507,py-2d6cc4b,4819.49
508,py-389bc7b,9739.54
509,py-e2230b8,3586.36
510,py-0874085,166.63
511,py-a760880,4818.60
512,py-10a7cdd,6658.37
513,py-3dc4876,5172.38
514,py-59b90e1,6987.43
515,py-2b8a615,4476.69
516,py-f3f27a3,6612.65
517,py-38913e1,3060.48
518,py-ebd9629,4869.89
519,py-63538fe,8646.51
520,py-cf67355,9781.30
521,py-07563a3,6306.18
522,py-53fde96,983.22
523,py-2bb232c,1613.53
524,py-ba2fd31,9772.51
525,py-69421f0,9791.51
526,py-85422af,3308.89
527,py-13f320e,6342.92
528,py-f4be002,4364.59
529,py-37f0e88,1974.48
530,py-d64a340,8448.38
531,py-0fcbc61,8353.49
532,py-298f95e,5060.25
533,py-df877f3,1205.55
534,py-c399862,6921.14
535,py-33e8075,6733.96
536,py-65658fd,2910.29
537,py-5ea1649,8713.71
538,py-7bcdf75,4159.64
539,py-5737034,2445.58
540,py-9b72e31,5652.89
541,py-16c222a,8407.39
542,py-7dcd340,1494.07
543,py-8144813,9199.34
544,py-97e8527,2076.03
545,py-647bba3,4319.08
546,py-ed265bc,7462.28
547,py-c75b6f1,7833.75
548,py-8d34201,2582.33
549,py-ccb1d45,9351.95
550,py-01f78be,4703.77
551,py-7f24d24,6184.26
552,py-94c7bb5,3160.88
553,py-f387624,978.36
554,py-5e38810,3411.56
555,py-15de21c,3628.69
556,py-11b921e,5020.16
557,py-6e2713a,7241.51
558,py-1bb91f7,3476.34
559,py-3a07724,9675.63
560,py-a9a6653,6511.52
561,py-58ae749,7341.06
562,py-4e4b5fb,6613.91
563,py-8eefcfd,3070.96
564,py-1728efb,8830.65
565,py-cbcb58a,6470.37
566,py-db85e25,4879.33
567,py-99c5e07,1872.42
568,py-dd45850,2449.25
569,py-8b16ebc,2290.19
570,py-a86c450,2643.36
571,py-c9892a9,9221.16
572,py-e6b4b2a,2145.82
573,py-e5f6ad6,2999.62
574,py-f0e52b2,7187.41
575,py-ffeabd2,7035.96
576,py-a7aeed7,930.46
577,py-fde9264,4683.20
578,py-a8849b0,686.92
579,py-258be18,5684.57
580,py-069d3bb,8278.69
581,py-c6e19e8,1004.26
582,py-46922a0,4150.29
583,py-9ad6aae,5786.28
584,py-f5deaee,6135.32
585,py-a9a1d53,2993.41
586,py-605ff76,1260.57
587,py-766ebcd,9824.03
588,py-daca412,2510.31
589,py-30bb382,2960.47
590,py-08b255a,7798.62
591,py-3493894,648.70
592,py-dbe272b,4233.74
593,py-acc3e04,3667.93
594,py-076a0c9,6273.35
595,py-04ecb1f,9018.80
596,py-b2eeb73,5112.73
597,py-08c5433,5306.56
598,py-6aca970,5864.77
599,py-3435c37,6038.41
600,py-d490d7b,8075.53
601,py-b2f627f,2612.05
602,py-c3992e9,7359.49
603,py-d86ea61,4805.43
604,py-9cf81d8,3079.24
605,py-c361bc7,5205.13
606,py-44c4c17,7093.72
607,py-dc82d63,7840.22
608,py-996a7fa,3313.19
609,py-d7a728a,4396.30
610,py-00ac8ed,8455.04
611,py-8ebda54,3943.23
612,py-f76a89f,7119.82
613,py-f29c21d,6040.25
614,py-851ddf5,5102.67
615,py-58d4d1e,2892.57
616,py-7750ca3,6397.54
617,py-5d44ee6,582.63
618,py-eb6fdc3,6290.32
619,py-cdc0d6e,945.01
620,py-b73dfe2,1130.13
621,py-85fc37b,9679.70
622,py-3871bd6,4424.57
623,py-a733fa9,2147.03
624,py-48ab2f9,939.05
625,py-2335090,3288.16
626,py-45645a2,2879.74
627,py-185c29d,9312.84
628,py-42e77b6,2043.56
629,py-051e4e1,3787.92
630,py-9cc138f,7433.28
631,py-b7bb35b,5845.01
632,py-abd8152,5993.10
633,py-26dd0db,2283.19
634,py-6766aa2,2318.63
635,py-6a10bbd,6410.43
636,py-c5ab0bc,5064.35
637,py-a532400,5307.67
638,py-4c27cea,4007.83
639,py-0f96613,3099.55
640,py-4ffce04,202.61
641,py-67e103b,2207.15
642,py-291597a,7966.06
643,py-9b698eb,7129.43
644,py-8c7bbbb,8269.02
645,py-5e9f92a,3585.73
646,py-0ff39bb,4446.73
647,py-303ed4c,7794.41
648,py-443cb00,3302.74
649,py-55b37c5,1061.22
650,py-884d247,1441.22
651,py-55743cc,9445.32
652,py-30ef30b,2789.50
653,py-eaae339,3721.96
654,py-ab233b6,5823.65
655,py-3d2d8cc,3653.87
656,py-26408ff,8839.93
657,py-b4288d9,7173.21
658,py-2f37d10,4048.17
659,py-0ff8033,8080.18
660,py-68264bd,4775.11
661,py-3a066bd,3668.97
662,py-be3159a,4269.92
663,py-8757150,8058.92
664,py-2291d2e,9458.60
665,py-8411727,4703.50
666,py-fae0b27,5203.81
667,py-b5dc4e5,8576.68
668,py-192fc04,5103.42
669,py-5c04925,1333.87
670,py-17c276c,3579.47
671,py-5dd9db5,5937.48
672,py-2dea61e,9439.81
673,py-9f396fe,3224.11
674,py-0d7de1a,9656.17
675,py-8fecb20,8685.16
676,py-dc6a707,5352.61
677,py-71a3cb1,9733.07
678,py-9fe8593,118.59
679,py-ca9c267,5634.94
680,py-fccb3cd,6670.14
681,py-1595af6,9806.36
682,py-08d9863,5381.04
683,py-2468192,5647.55
684,py-556f391,3664.80
685,py-3328bdf,6104.26
686,py-109a0ca,421.99
687,py-7f5d04d,8351.22
688,py-f79921b,492.30
689,py-07a96b1,7983.51
690,py-c06d06d,1252.61
691,py-10a5ab2,7949.84
692,py-e555ebe,564.87
693,py-53e3a71,442.92
694,py-5487315,1540.19
695,py-e4bb4c5,9289.45
696,py-0cb929e,4987.77
697,py-8a0e114,9940.51
698,py-99bcfcd,3078.45
699,py-afd4836,5528.08
700,py-e5841df,6240.25
701,py-b4a5289,8811.46
702,py-b1eec33,3833.37
703,py-d6c651d,9597.53
704,py-f64eac1,3379.47
705,py-4a47d29,5966.50
706,py-9c82c71,2657.19
707,py-500e75a,7295.42
708,py-ae0eb3e,5232.97
709,py-1ecfb46,6288.42
710,py-e706118,5987.24
711,py-6081594,8461.18
712,py-19bc916,900.24
713,py-07c5807,7729.18
714,py-d14220e,249.64
715,py-8df707a,6127.47
716,py-e7f8a7f,1480.44
717,py-788d986,2777.58
718,py-50c3d76,551.72
719,py-2afe456,3314.86
720,py-5f2c22c,7498.07
721,py-aba3b6f,7622.77
722,py-c8ed21d,1602.65
723,py-08419be,9144.04
724,py-7f1171a,4327.46
725,py-82f2b30,8457.32
726,py-0d3180d,2155.77
727,py-fb89705,7832.31
728,py-d4c2e4a,6312.80
729,py-5751ec3,5155.15
730,py-d5cfead,8489.03
731,py-59c3301,9133.89
732,py-ba38666,4650.59
733,py-6c29793,8652.86
734,py-e995f98,9335.96
735,py-6cd67d9,9149.04
736,py-6bc24fc,6241.44
737,py-a5cdd4a,4051.67
738,py-217eedd,8695.17
739,py-df263d9,767.06
740,py-edfbe1a,9268.64
741,py-2e65f2f,8128.02
742,py-e94550c,2047.66
743,py-5c572ec,3202.58
744,py-0537fb4,3420.25
745,py-5f0f5e5,2370.75
746,py-185e65b,1546.34
747,py-8d317bd,1096.29
748,py-e49b8b4,1926.07
749,py-b056eb1,8649.66
750,py-b137fdd,3834.82
751,py-912d2b1,5417.85
752,py-a1d33d0,4414.54
753,py-6f2268b,8864.35
754,py-872488f,5072.85
755,py-ccb0989,1060.24
756,py-2823f47,663.10
757,py-470e7a4,4255.78
758,py-bf62768,885.01
759,py-fa14d4f,4891.76
760,py-2ca65f5,2277.78
761,py-88ae637,2847.51
762,py-06997f0,7099.97
763,py-eefc9e1,7856.75
764,py-5807a68,374.40
765,py-d840cc5,903.07
766,py-959a557,4954.26
767,py-f2201f5,4416.40
768,py-3a835d3,6611.68
769,py-288cc0f,4295.45
770,py-4ea06fb,1855.15
771,py-b7ee6f5,1278.84
772,py-e57c6b9,5390.68
773,py-86b122d,3673.30
774,py-4e0928d,6164.95
775,py-c0f168c,5721.49
776,py-8c6744c,8259.46
777,py-f1c1592,3491.14
778,py-e074133,8857.90
779,py-67d96d4,4705.02
780,py-a8e864d,3300.29
781,py-7143d7f,7231.71
782,py-72da7fd,9783.86
783,py-6e0721b,7945.85
784,py-fc8001f,953.86
785,py-4b04a68,6333.41
786,py-61b4a64,2792.49
787,py-3621f14,1921.14
788,py-c15da1f,7573.20
789,py-68053af,4007.28
790,py-2dace78,1014.31
791,py-df7f28a,694.99
792,py-96ea64f,3988.61
793,py-da8ce53,4423.80
794,py-82489c9,4288.18
795,py-7c590f0,9739.21
796,py-35cf865,1801.25
797,py-beb22fb,2545.08
798,py-9e3cfc4,6749.89
799,py-28267ab,5881.53
800,py-7a53928,2403.99
801,py-1905aed,5753.17
802,py-1141938,1150.70
803,py-1aa48fc,8652.50
804,py-dc56897,6316.94
805,py-846c260,8872.77
806,py-d58072b,742.19
807,py-6e7b33f,2055.60
808,py-a8ecbab,4592.97
809,py-32b30a2,179.40
810,py-b6edc1c,6008.48
811,py-670e8a4,4196.58
812,py-81e74d6,4352.75
813,py-e0cf1f4,8241.39
814,py-96b9bff,926.15
815,py-71ad16a,8823.06
816,py-43fa7f5,453.46
817,py-31839b0,8500.02
818,py-f0adc88,2055.26
819,py-3b5dca5,4749.55
820,py-e2a2dcc,7646.64
821,py-4558dbb,4788.31
822,py-afda332,9762.17
823,py-632cee9,1094.22
824,py-677e097,1610.76
825,py-d554f7b,8250.45
826,py-795c7a7,1803.67
827,py-fa3a3c4,9292.55
828,py-c2626d8,4827.72
829,py-ce78d1d,2911.16
830,py-8e82ab7,9217.78
831,py-e0ec453,9391.76
832,py-7250eb9,7720.61
833,py-013a006,7804.93
834,py-301ad0e,8502.20
835,py-4d5b995,6880.79
836,py-ab88b15,3515.35
837,py-b0b183c,1112.05
838,py-f9028fa,9722.26
839,py-8f7d807,8563.37
840,py-fa83a11,2409.27
841,py-02a32ad,9151.40
842,py-fc3cf45,585.11
843,py-3d8e28c,6215.51
844,py-e97ee20,8905.74
845,py-b86e8d0,9440.50
846,py-84f7e69,433.92
847,py-f455267,9796.44
848,py-362e80d,9034.82
849,py-fe8c15f,7576.98
850,py-1efa39b,6673.90
851,py-92fb0c6,5724.01
852,py-22ac3c5,5636.59
853,py-aff1621,8089.39
854,py-f7e9050,9406.75
855,py-addfa9b,5091.89
856,py-8c235f8,5540.02
857,py-847cc55,6104.88
858,py-a67f096,4763.04
859,py-2a084e5,762.72
860,py-fc49306,4285.59
861,py-f9a40a4,7934.55
862,py-5ec91aa,2434.97
863,py-19b6506,4394.69
864,py-1fc2140,2528.68
865,py-3b3dbaf,9918.04
866,py-ca8155f,5840.05
867,py-ede7e2b,5888.52
868,py-dd45045,5354.97
869,py-49c9adb,2800.58
870,py-22fb0ce,1241.21
871,py-aeb3135,286.03
872,py-43feaee,986.08
873,py-98d6f58,2164.12
874,py-51ef186,1067.40
875,py-4b0a59d,4743.90
876,py-67d16d0,2137.47
877,py-3524072,1096.72
878,py-dd8eb9f,4955.43
879,py-d516b13,4746.26
880,py-1f50893,2268.20
881,py-7504ada,1450.94
882,py-6c3cf77,6894.11
883,py-210f760,8224.84
884,py-170c944,3120.17
885,py-0efe328,4629.56
886,py-704afe0,2434.38
887,py-7ce3284,4613.05
888,py-0a113ef,1682.85
889,py-0787191,8835.55
890,py-024d7f8,6226.69
891,py-cfbce4c,5024.78
892,py-c2aee86,8944.25
893,py-d56b9fc,4313.06
894,py-4b02507,9545.70
895,py-20aee3a,4358.73
896,py-061412e,470.94
897,py-5705e11,1807.39
898,py-a64c94b,8212.29
899,py-0188251,9457.37
900,py-acf4b89,6783.95
901,py-892c91e,7322.16
902,py-b6a1085,3025.08
903,py-aa169b4,5835.48
904,py-f47d0ad,9700.98
905,py-f57a2f5,9617.64
906,py-c8fbbc8,8265.98
907,py-621461a,2850.84
908,py-8b6dd7d,9834.54
909,py-a4300b0,5256.20
910,py-e205ee2,9277.06
911,py-b56a18e,777.06
912,py-2a9d121,4284.23
913,py-8b5040a,8941.23
914,py-7634ea6,7949.90
915,py-24896ee,1712.25
916,py-23ce185,9120.93
917,py-da0d111,8677.70
918,py-1e056d2,5843.00
919,py-3e89ebd,3571.06
920,py-6d0f846,4142.96
921,py-430c362,1369.26
922,py-ccc0aa1,3976.65
923,py-c4015b7,2529.20
924,py-bea5955,3331.01
925,py-7fa732b,5091.64
926,py-cbb6a3b,714.30
927,py-1f4477b,6293.30
928,py-d045c59,1141.30
929,py-0d0871f,2709.97
930,py-1cc3633,4737.95
931,py-9f53d83,9480.15
932,py-d2ed45a,8130.38
933,py-043c3d7,9623.01
934,py-4daa3db,8242.27
935,py-e820a45,3799.58
936,py-90794e3,3757.32
937,py-b7892fb,2494.91
938,py-74bba22,937.94
939,py-3df1d4b,1595.31
940,py-8d6dc35,3057.50
941,py-92262bf,4030.14
942,py-b55ec28,9326.91
943,py-2f885d0,9674.86
944,py-64223cc,7202.51
945,py-4b6538a,6211.78
946,py-c8c41c4,9823.13
947,py-c4b31ce,9015.31
948,py-58e4d44,5603.49
